source_date,email_ts,message_id,thread_id,subject,evidence_class,sanitized_finding,blocker_impact,next_action,secrets_excluded
2026-05-11,2026-05-11T17:33:30Z,outlook:social-package-link-broken,outlook:social-package-link-broken,Fw: Review Air Express Heating and Air Conditioning's Social Media Strategy Package,outlook_search_sanitized,Outlook search found a forwarded Air Express Social Media Strategy package thread where Michael reported the link was broken and asked who could walk through the report for the first client call.,Supports #24/#29/#31 readiness gating: distribution and client walkthrough should wait until the report link works and the live artifacts are verified.,Confirm Michael has a working report-review link and walkthrough path before public/client-facing distribution claims.,true
2026-05-11,2026-05-11T18:08:29Z,outlook:client-missing-connections,outlook:client-missing-connections,Re: Client Missing Connections,outlook_search_sanitized,Outlook search found a Jasmine/New Reward missing-connections thread whose Air Express preview lists Cloudflare stale and Google Business Profile not connected.,Corroborates New Reward setup snapshot blockers for Cloudflare delivery state and GBP provider access; it does not provide GSC/GA4/GBP API scopes or provider rows.,Keep provider and delivery blockers open until New Reward setup and live artifact paths are directly verified.,true
2026-05-27,2026-05-27T21:42:28Z,19e6b6391f63f96d,19e6b6391f63f96d,Air Express Google Business Profile access path for Michael,gmail_readonly_sanitized,Message says later access notes showed GSC and GA4 live while GBP was not connected; it recommends owner-led GBP access rather than credential sharing.,"Supports that GSC/GA4 may exist historically and the blocker is provider/source reconciliation, not proof of asset absence. Does not prove current API access.",Keep GSC/GA4 history pull blocked until read-only scopes and exact property visibility are confirmed; pursue GBP through owner/manager invitation.,true
2026-05-27,2026-05-27T22:32:53Z,19e6b91bd425b4c5,19e6b91bd425b4c5,Air Express GBP recovery lead update,gmail_readonly_sanitized,Message identifies Max Harding as the strongest Google Business Profile recovery lead from public-owner evidence. It does not provide a GTM container id.,"Clarifies Max is an owner/access recovery lead, not verified GTM source evidence. Homepage should not add a GTM marker until a real GTM container id is found.",Ask Max/Air Express for owner-led access invitations and any verified GTM container id or Google Tag Manager workspace proof.,true
2026-06-03,2026-06-03T15:15:00Z,search:none,search:none,Gmail GTM search,gmail_search_sanitized,"Bounded Gmail searches for Air Express, Max Harding, maxharding88@yahoo.com, GTM, Google Tag Manager, Tag Manager, Google tag, googletagmanager, gtag, and GTM- returned no messages with an Air Express GTM container id, preserving the no GTM container id finding.","Confirms no approved Air Express GTM container id was found through the searched mailbox path; the mailbox evidence supports GA4/GSC setup drift, not a verified GTM container.","Keep direct GA4 source as the verified local implementation until Google Tag Manager, New Reward provider records, or owner evidence supplies a GTM-... id.",true
2026-06-03,2026-06-03T15:45:00Z,search:servicetitan,search:servicetitan,Gmail ServiceTitan history search,gmail_search_sanitized,"Bounded Gmail searches for Air Express ServiceTitan, lead, Follow Up Leads, campaign 80365413, and known lead IDs found the existing April 24 lead proof, April 29 setup note, and May 1 missing-leads investigation thread. No full ServiceTitan export, booking status, revenue report, or new lead IDs beyond existing proof were found.",Confirms the safe mailbox workaround has been exhausted for #30; remaining proof requires provider/export access or an owner-supplied redacted packet.,Request read-only ServiceTitan export/API access or redacted screenshot packet by date/source/channel/campaign/status with customer PII removed.,true
2026-06-03,2026-06-03T16:10:00Z,outlook:gtm-search-none,outlook:gtm-search-none,Outlook GTM search,outlook_search_sanitized,"Bounded Outlook searches for Air Express plus GTM- and Google Tag Manager returned no matching messages, while G-JZ7PY32EVX searches returned direct gtag evidence.",Confirms Outlook corroborates the no-approved-GTM-container finding and supports direct GA4 as the only verified tag path.,"Keep GTM unknown until Google Tag Manager, New Reward provider records, or owner evidence supplies a verified GTM container id.",true
2026-06-03,2026-06-03T16:28:47Z,search:gmail-current-recheck,search:gmail-current-recheck,Current Gmail GA4/GTM/GSC/GBP recheck,gmail_search_sanitized,"A fresh Gmail search for Air Express plus GA4/GSC/GBP/GTM/Google Tag Manager terms returned the same April setup drift, May training, and GBP recovery evidence already recorded. A narrower Max Harding and GTM-specific search returned no Air Express GTM container id, and the exact GA4/domain search returned no new property id or scoped API evidence.","Confirms the safe Gmail workaround remains exhausted for the GTM/source-scope question: current evidence supports direct GA4 G-JZ7PY32EVX and provider/source drift, but not a verified GTM container, Google API scopes, property id, or provider row.",Do not add GTM without verified container ownership. Continue with New Reward mapping reconciliation and Google read-only reconnect packet after #26 is resolved.,true
2026-06-03,2026-06-03T16:28:47Z,search:drive-current-recheck,search:drive-current-recheck,Google Drive provider/source search,drive_search_sanitized,"Read-only Google Drive metadata searches for airexpressutah, G-JZ7PY32EVX, Air Express Google Analytics, Air Express Search Console, Air Express Business Profile, and Air Express ServiceTitan found no Air Express-specific GA4 property id, GTM container id, GSC property proof, GBP location proof, ServiceTitan export, or provider-row source file. A broad Business Profile query returned unrelated general-business files and was not treated as Air Express evidence.",Confirms the safe Drive workaround did not change #26/#27/#29/#30 blocker state. Drive search does not prove the assets are absent; it only found no usable source proof through this connected Drive path.,Continue with the authorized New Reward app/source mapping reconciliation and Google read-only reconnect packet; do not repeat broad Drive searches without a narrower file clue.,true
2026-06-03,2026-06-03T18:03:38Z,search:gmail-ga4-gtm-gsc-servicetitan-recheck,search:gmail-ga4-gtm-gsc-servicetitan-recheck,Current Gmail Max GA4/GTM/GSC/ServiceTitan recheck,gmail_search_sanitized,"Bounded Gmail searches for Air Express plus GTM/Google Tag Manager returned no Air Express GTM container id; GA4/GSC/GBP searches returned the same setup-drift and GBP recovery threads already recorded; Max Harding searches returned the existing GBP recovery lead; ServiceTitan searches returned the existing April 24 lead proof, April 29 setup note, and May 1 lead-visibility task but no full export, booking, or revenue history.","Confirms the latest mailbox workaround did not change the blocker classes: direct GA4 G-JZ7PY32EVX remains the only verified tag source, GTM remains unverified, GSC/GA4/GBP history remains blocked by source mapping plus missing read scopes/property visibility, and ServiceTitan history still requires export/API or redacted owner packet.","Keep direct GA4 locally, do not add GTM until a verified GTM- container is supplied, use the canonical New Reward website id cmorqbs9j001r5nr1h25vosp8 for provider recheck, run approved Google read-only reconnect, and request ServiceTitan export/social access through owner invitations.",true
