surface,class,priority,current_state,control_state,target_account_or_owner,evidence,next_action,blocker,risk,performance_signal,last_verified
New Reward SEO workspace,measurement,P0,"/admin/crm/cmmwe8so000077kqptwysqaem/seo-optimization previously reported Client not found; latest read-only DB evidence proves the Air Express client row exists and primaryWebsiteId matches the live edge id cmorqbs9j001r5nr1h25vosp8, but the live SEO workspace UI still needs recheck.",workspace_ui_recheck_blocked,James/New Reward,New Reward SEO optimization route; data/newreward-attribution-source-check.json; data/newreward-air-express-provider-readonly-recheck.json,Open the SEO workspace read-only under james@jamesbrady.org and confirm it resolves the client before running provider reconnect.,Prior UI Client not found evidence is stale against current DB proof but not yet rechecked in the app.,attribution and report automation blocked,run state credential health and pulled rows,2026-06-03
Apple Business Connect,maps,P1,not verified,unknown,newrewardplatform@gmail.com,official Apple flow reviewed,search and claim existing if present,owner verification gate,NAP drift,Apple Maps actions,not_attempted
Bing Places,maps,P1,not verified,unknown,newrewardplatform@gmail.com,official Bing flow reviewed,search and claim existing if present,Microsoft verification gate,NAP drift,Bing Maps views,not_attempted
MapQuest Utah listing,directory,P1,public profile exists,control_unknown,support@newreward.com,public MapQuest result,verify control and phone/NAP accuracy,claim or Yext gate,wrong phone or duplicate listing,directions and calls,2026-06-01
BBB,directory,P1,public BBB profile exists; official profile does not support BBB accreditation wording; local copy now says BBB Business Profile,control_unknown,Air Express owner,BBB public profile; data/public-claim-register.json,do not claim accreditation unless BBB status changes; verify profile access only if needed,owner verification gate,unsupported accreditation claim if reintroduced,profile views and trust proof,2026-06-03
Angi,directory,P1,public profile exists,control_unknown,support@newreward.com,public Angi result,monitor and prepare repair strategy,platform access gate,reputation risk,profile rating and leads,2026-06-01
Nextdoor,business_social,P1,not verified,unknown,support@newreward.com,official Nextdoor flow reviewed,search and claim existing if present,owner document gate,public address and posting risk,recommendations and referrals,not_attempted
Facebook,direct_social,P1,public page URL exists,control_unknown,support@newreward.com,site footer and HTTP 200,request page admin access,no public post approval,brand voice and review risk,referral traffic and messages,2026-06-01
Instagram,direct_social,P1,not verified,unknown,support@newreward.com,not found in repo,search existing handle before creation,approval required,duplicate handle risk,referral traffic,not_attempted
YouTube,direct_social,P2,not verified,unknown,support@newreward.com,not found in repo,search existing channel before creation,approval required,maintenance burden,video views and referral traffic,not_attempted
TikTok,direct_social,P2,not verified,unknown,support@newreward.com,not found in repo,search existing handle before creation,approval required,maintenance burden,views and referral traffic,not_attempted
LinkedIn,direct_social,P2,not verified,unknown,support@newreward.com,not found in repo,search existing company page before creation,approval required,duplicate page risk,profile referral traffic,not_attempted
Yelp,review_directory,P2,not verified,unknown,support@newreward.com,industry fit only,search existing profile before action,policy and owner gate,review solicitation policy,profile rating and leads,not_attempted
Houzz,directory,P2,not verified,unknown,support@newreward.com,industry fit only,evaluate only if project photos exist,approval required,low fit without visual proof,profile traffic,not_attempted
Thumbtack,marketplace,P2,not verified,unknown,support@newreward.com,industry fit only,evaluate paid/free path,paid gate,paid lead quality risk,lead cost and close rate,not_attempted
Lehi business license,accreditation,P1,public license list found,public_source,Air Express owner,Lehi public business list,confirm current license and allowed use,official record recency,license claim accuracy,trust proof,2026-06-01
