issue,criterion_id,acceptance_criterion,state,evidence,remaining_blocker,next_action,closure_ready
#26,AC1,One canonical Air Express website id is recorded for provider connections live edge delivery and SEO workspace reporting,completed_verified,data/newreward-air-express-provider-readonly-recheck.json rows_found records Air Express client primaryWebsiteId cmorqbs9j001r5nr1h25vosp8; Website cmorqbs9j001r5nr1h25vosp8 is primary/canonical for airexpressutah.com and matches the live edge website id.,None for canonical id selection in the read-only database evidence; live UI still needs provider-card recheck before OAuth reconnect.,Keep cmorqbs9j001r5nr1h25vosp8 as the canonical provider target and verify the New Reward UI uses the same id.,true
#26,AC2,SEO workspace opens for the Air Express CRM client without Client not found,blocked_workspace_ui_recheck,"Earlier New Reward SEO workspace evidence reported Client not found for cmmwe8so000077kqptwysqaem; the latest read-only DB evidence proves the client row exists, but the live SEO workspace UI has not yet been rechecked after the provider-row discovery. Chrome UI workaround attempted: Chrome, the Codex Chrome Extension, and native host manifest are present/enabled, but the Chrome browser-control MCP namespace is not exposed in this session, so no authenticated New Reward UI tab could be claimed or navigated through the approved tool path.",New Reward SEO workspace route must be rechecked with the james@jamesbrady.org app session and must open without Client not found.,Open /admin/crm/cmmwe8so000077kqptwysqaem/seo-optimization read-only and record whether the UI now resolves the client.,false
#26,AC3,GSC GA4 and GBP provider status checks target the canonical website id,partial_provider_rows_mixed,data/newreward-air-express-provider-readonly-recheck.json shows GSC credential cmovx4dgo000o5nlkvdn9wd79 and current GSC connection cmpymwqgm00xv5mo5h3spvjfg target websiteId cmorqbs9j001r5nr1h25vosp8 but are revoked/error; GA4 credential cmovx4t46000q5nlkn8ix3aup and GA4 connection cmovx4t7n000s5nlki14jmb69 also target cmorqbs9j001r5nr1h25vosp8 and are expired/EXPIRED with propertyId null.,GSC must be repaired or reconnected safely; GA4 property id remains missing; GBP provider/location proof is still missing.,Run the approved read-only Google reconnect/property-selection path only after confirming the UI targets cmorqbs9j001r5nr1h25vosp8.,false
#26,AC4,Chosen mapping is recorded in repo docs and issue comments with evidence,prepared_current_evidence_recorded,"data/issue-24-30-completion-audit.csv now records the canonical website id, found provider rows, GSC revoked/error, GA4 expired/EXPIRED with propertyId null, and remaining stop gates.",Issue tracker comments and live UI proof still need to be refreshed before closing #26.,Post a #26 update with the rows_found/current-provider evidence and keep closure blocked on SEO workspace/provider reconnect proof.,false
#27,AC1,GSC provider credential can read the canonical Air Express Search Console property,blocked_scope,data/google-history/history-pull-status.json records missing webmasters.readonly for newrewardplatform@gmail.com,No scoped GSC read token or property visibility proof,Run approved read-only reconnect after #26 mapping,false
#27,AC2,GA4 provider credential can read the GA4 property whose stream uses G-JZ7PY32EVX,blocked_scope,data/google-history/history-pull-status.json records missing analytics.readonly; Outlook evidence confirms direct GA4 id G-JZ7PY32EVX; 2026-06-03 current Gmail and Drive rechecks found no new GA4 property id or scoped API evidence,No scoped GA4 read token or property visibility proof,Run approved read-only reconnect and verify property contains G-JZ7PY32EVX,false
#27,AC3,GBP provider credential can read Air Express Business Profile metrics or record a narrowed access or location blocker,blocked_scope,data/google-history/history-pull-status.json records missing business.manage and Outlook evidence records GBP not connected,No scoped GBP token and no Air Express location visibility proof,Run approved read-only reconnect and stop at owner verification or missing location gate,false
#27,AC4,npm run pull:gsc-ga4-history no longer reports blocked_scope for GSC or GA4,blocked_scope,Latest pull still reports GSC blocked_scope and GA4 blocked_scope,Required scopes are missing,Reconnect with webmasters.readonly and analytics.readonly then rerun,false
#27,AC5,No secrets are stored in docs issues files or chat,completed_verified,npm run verify:onboarding-evidence and targeted sensitive scans pass for generated evidence docs and pages,None for current local evidence,Repeat scans after every credential or provider evidence change,true
#28,AC1,Approved GA4 or GTM source is reachable on the live canonical site,fixed_locally_pending_live,data/live-measurement-path-check.json records local GA4 present but live analytics.js is 404; data/owned-site-delivery-sync-check.json records analytics_js pending_delivery_sync; data/site-file-manifest.json records local publish artifacts complete; docs/air-express-owned-site-delivery-sync-packet.md records the approved-delivery handoff and stop gates,Approved deploy edge sync or manual delivery path is required,Run npm run prepare:delivery-sync-packet before approved delivery; then rerun npm run verify:site-file-manifest plus npm run verify:owned-site-delivery-sync plus npm run verify:live-measurement,false
#28,AC2,Live homepage exposes exactly one approved measurement source,fixed_locally_pending_live,data/live-measurement-path-check.json records live sourceCount 0 and no GA4 or GTM marker; data/owned-site-delivery-sync-check.json records homepage pending_delivery_sync; docs/air-express-owned-site-delivery-sync-packet.md records that no approved GTM container id has been found,Live source has not synced,Approve delivery and verify one approved live source; do not add GTM unless the approved Air Express container id is verified,false
#28,AC3,Request estimate contact and schedule lead paths fire or are documented with a specific blocker,prepared_source_pending_live,data/live-measurement-path-check.json records contact request-estimate and schedule-service each load analytics.js intake-form.js and data-intake-form plus generate_lead source,Live event proof is pending deploy and non-duplicating form verification,After delivery verify one generate_lead event without duplicate ServiceTitan records,false
#28,AC4,npm run audit:seo-geo-attribution updates attribution evidence accordingly,completed_verified,data/seo-geo-attribution-audit.json references data/live-measurement-path-check.json and attribution remains 25 due live/provider blockers,None for local audit integration,Rerun after live delivery,true
#29,AC1,GSC daily query page and device history files are generated or blocked with exact property or access evidence,blocked_scope_with_saved_snapshot,"data/google-history/history-pull-status.json records direct GSC blocked_scope and missing webmasters.readonly; data/google-history/newreward-snapshot-history.json records 24 saved GSC snapshots for canonical website cmorqbs9j001r5nr1h25vosp8 with the latest window 2026-05-06 to 2026-06-03 showing 3,832 appearances and 5 clicks",No scoped local GSC read token or normalized query/page/device history; saved GSC snapshots are aggregate totals only,Resolve #26 and #27 then rerun saved snapshot and direct history pulls,false
#29,AC2,GA4 daily channel landing-page and event history files are generated or blocked with exact property or access evidence,blocked_scope,data/google-history/history-pull-status.json records GA4 blocked_scope and missing analytics.readonly,No scoped GA4 read token or property visibility proof,Resolve #26 and #27 then rerun history pull,false
#29,AC3,GBP performance history is pulled or blocked with exact account location or access evidence,blocked_scope,data/google-history/history-pull-status.json records GBP blocked_scope and missing business.manage,No scoped GBP token or location visibility proof,Resolve #26 and #27 then rerun history pull,false
#29,AC4,Pages impact report compares performance across New Reward milestone periods,prepared_saved_snapshot_context,pages/new-reward-impact-report.html contains New Reward Impact Periods plus Saved New Reward Snapshot Evidence; saved GSC and AI visibility snapshots are available but direct GSC/GA4/GBP period rows remain blocked,Direct provider history rows are not available yet; saved GSC snapshots are aggregate windows and GA4 snapshots are absent until propertyId is selected,Rerun after scoped access and GA4 property selection to populate direct period rows,false
#29,AC5,Report distinguishes verified inferred prepared blocked and not attempted,completed_verified,pages/new-reward-impact-report.html and data/google-history/history-pull-status.json include the Evidence State Model,None for state model,Keep verifier coverage in place,true
#30,AC1,A read-only lead export screenshot packet or approved source is provided for relevant periods,api_history_pulled,data/servicetitan-api-lead-history-summary.json records a read-only ServiceTitan CRM v2 GET /leads pull for 2026-01-01 through 2026-06-05 with 78 redacted lead rows and 76 configured website campaign rows; data/servicetitan-export-access-check.json records auth_ready_no_export; temp Vercel env values were not stored,Booking and revenue joins are not included in this lead endpoint response,Use this as the approved lead-count source while separately pulling booking/revenue proof if authorized,false
#30,AC2,Lead data is joined by safe fields such as date source campaign status and revenue or booking if approved,partial_api_history_pulled_revenue_blocked,data/servicetitan-api-lead-history-redacted.csv stores safe lead id created_at modified_at impact period campaign/source service category status priority booking id if present capture source and id-presence booleans; customer PII raw notes raw payloads lead URLs and credential material are excluded,0 rows include booking ids and no revenue fields are approved or stored,Join approved booking/revenue fields after endpoint/scope verification; keep current lead-count comparison separate from ROI claims,false
#30,AC3,No private customer data is written into repo-local reports,completed_verified,data/servicetitan-prior-proof-summary.csv data/servicetitan-lead-history.csv and report status record pii_excluded true,None for current local evidence,Repeat scan after any export packet import,true
#30,AC4,Impact report shows leads by period or records exact lead-proof blocker,completed_verified,pages/new-reward-impact-report.html includes Lead Proof Status with ServiceTitan api_history_pulled evidence and remaining booked-job/revenue blocker,None for lead-count blocker display,Replace revenue blocker only after approved booking/revenue proof,true
